id,FTime,EBal?,A,gs,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
a,400.4999999,0,9.69448208,0.211166309,298.5493285,3.281516451,1.648462691,25.3078289,6,1.420000017,1,2.840000033,26.23797607,25.3078289,26.9972477,398.8929749,385.729187,11.84006405,15.71936607,35.13954926,46.46067429,499.5640564,1198.791138,0.213642821,101.1516571,17.85065269,0.666291177,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832606761,0.003281516,298.4578289,299.3879761,191.8065777,0.684447295,3.238502618,32.01630809,16.29694202,25.77290249,3.329180009,0.196551828,1.590039927,1.739140082,0.124079321,30.19875931,0.773986876,51.46235428,381.1208945,0.013090357
a,492.4999998,0,10.08347091,0.224130845,300.5604315,3.412710548,1.621880519,25.31039047,6,1.420000017,1,2.840000033,26.25895119,25.31039047,26.99725533,400.0341187,386.3400269,11.95339298,15.98664188,35.28957367,47.19280243,499.5703735,1198.752075,0.217819661,101.1541748,17.74313927,0.666963518,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832617289,0.003412711,298.4603905,299.4089512,191.8003277,0.618381741,3.238996087,32.0203896,16.03374772,25.78467083,3.331503012,0.207736429,1.617115568,1.714387444,0.131214971,30.40294243,0.777968656,52.44773428,381.5468277,0.01386082
a,580.9999999,0,7.3081067,0.227608152,227.2645678,3.40636521,1.595714351,25.32499695,6,1.420000017,1,2.840000033,26.26837349,25.32499695,26.99716568,298.7243958,288.7654724,12.24816418,16.27285194,36.33888626,48.01172256,499.5568542,1200.469849,0.249698937,101.1560135,16.49796104,0.667358339,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832594757,0.003406365,298.4749969,299.4183735,192.0751715,0.624246593,3.241811181,32.04763681,15.77478487,25.79668522,3.333876044,0.210720249,1.646096831,1.687779213,0.133119995,22.98917768,0.787021266,53.30102107,285.2915485,0.013653736
a,669.9999999,0,7.431910133,0.237943969,229.2017938,3.504174913,1.57522838,25.38096428,6,1.420000017,1,2.840000033,26.30748558,25.38096428,26.99538231,299.4515076,289.3081665,12.44297981,16.5817337,36.83452225,48.81122971,499.5807495,1200.199585,0.185973048,101.1588516,16.45227623,0.665729463,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832634583,0.003504175,298.5309643,299.4574856,192.0319293,0.570374628,3.252617519,32.1535631,15.5718294,25.84422493,3.343280374,0.219549439,1.677389139,1.665891235,0.13876041,23.18579026,0.792241009,54.1982609,285.7753924,0.014094867
a,760.4999999,0,4.487081489,0.252772201,157.9511899,3.647312824,1.550542625,25.41880608,6,1.420000017,1,2.840000033,26.33840179,25.41880608,26.99660492,199.1103668,192.8764801,12.59148979,16.89790726,37.15764999,49.65200424,499.5819702,1199.878418,0.212229863,101.1604156,15.14580345,0.668291032,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832636617,0.003647313,298.5688061,299.4884018,191.9805426,0.494094824,3.259941947,32.22547007,15.32756281,25.87860394,3.350095677,0.232113135,1.709399322,1.640696355,0.146795362,15.97840802,0.818924059,55.22408785,190.7435365,0.012991003
a,850.4999999,0,4.573131815,0.26391893,159.1827464,3.747374916,1.530972849,25.48346901,6,1.420000017,1,2.840000033,26.37356758,25.48346901,26.99642372,199.8002472,193.4374542,12.79211712,17.21515083,37.6737175,50.48061752,499.5932922,1199.409546,0.174132541,101.1619492,15.13204002,0.667116106,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832655487,0.003747375,298.633469,299.5235676,191.9055231,0.436956336,3.272491063,32.34903133,15.1338805,25.9285183,3.36001231,0.241478524,1.741518213,1.618494097,0.152791607,16.1032369,0.822915847,56.10699419,191.2636064,0.013415238
a,938.9999999,0,1.322277335,0.272701196,88.53473709,3.817774673,1.51340414,25.57273293,6,1.420000017,1,2.840000033,26.41779709,25.57273293,26.99619484,101.2491379,99.20625305,13.05586624,17.56039619,38.40898895,51.35931015,499.5948181,1198.841064,0.274524152,101.1639862,13.51620293,0.670572221,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83265803,0.003817775,298.7227329,299.5677971,191.814566,0.393005764,3.289883818,32.5203063,14.95991011,25.99526501,3.373313137,0.248810068,1.776479678,1.596833459,0.157489689,8.956526921,0.892431015,56.95044934,98.57770573,0.007639079
a,1029.5,0,1.257728648,0.288397497,88.22098883,3.969886536,1.495194431,25.65073776,6,1.420000017,1,2.840000033,26.45724487,25.65073776,26.99260712,100.0128632,98.03490448,13.20864201,17.89120293,38.71384811,52.20569611,499.5805359,1198.679688,0.241778225,101.1644897,13.49574852,0.671934068,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832634226,0.003969887,298.8007378,299.6072449,191.7887457,0.308057062,3.305148846,32.67103758,14.77983465,26.05399132,3.38505372,0.261811005,1.809954415,1.575099305,0.165829429,8.92483132,0.899893658,57.86687411,97.43704052,0.007469523
a,1123.5,0,-0.58694109,0.30007539,51.29112666,4.053372166,1.472411508,25.69865799,6,1.420000017,1,2.840000033,26.48764229,25.69865799,26.9947319,48.59490204,49.06096649,13.42991447,18.20918465,39.29452515,53.0396347,499.6030884,1200.785889,0.112154216,101.165741,12.58204842,0.67222017,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832671814,0.004053372,298.848658,299.6376423,192.1257379,0.266097836,3.314557165,32.76363256,14.55444792,26.09315014,3.392902183,0.271399251,1.842145657,1.550756525,0.171987154,5.188904833,1.045456915,58.77183036,49.33997018,-0.006991411
a,1213.5,0,-0.503308316,0.309663651,51.16714071,4.125998228,1.456501048,25.76869774,6,1.420000017,1,2.840000033,26.5222187,25.76869774,26.99095917,49.13779068,49.49699402,13.63908672,18.50277328,39.82483292,53.78487396,499.5785522,1200.294556,0.074453235,101.1658783,12.58695793,0.669929445,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83263092,0.004125998,298.9186977,299.6722187,192.0471246,0.222445547,3.328350358,32.89993044,14.39715715,26.14545822,3.403410895,0.27921863,1.87184931,1.531561585,0.177013371,5.176368729,1.033742386,59.50104402,49.73624269,-0.006021237
